 Charge State log10(Te (eV)) log10(Electron Density (cm-3)) log10(Coefficient) te intervals          40 ne intervals          24 z          29
           1   2.2892399999999999        10.434780000000000       -25.461140000000000     
           1   2.2892399999999999        10.652170000000000       -25.461140000000000     
           1   2.2892399999999999        10.869570000000000       -25.461140000000000     
           1   2.2892399999999999        11.086959999999999       -25.461140000000000     
           1   2.2892399999999999        11.304349999999999       -25.461140000000000     
           1   2.2892399999999999        11.521739999999999       -25.461140000000000     
           1   2.2892399999999999        11.739129999999999       -25.461140000000000     
           1   2.2892399999999999        11.956519999999999       -25.461140000000000     
           1   2.2892399999999999        12.173909999999999       -25.461140000000000     
           1   2.2892399999999999        12.391299999999999       -25.461140000000000     
           1   2.2892399999999999        12.608700000000001       -25.461140000000000     
           1   2.2892399999999999        12.826090000000001       -25.461140000000000     
           1   2.2892399999999999        13.043480000000001       -25.461140000000000     
           1   2.2892399999999999        13.260870000000001       -25.461140000000000     
           1   2.2892399999999999        13.478260000000001       -25.461140000000000     
           1   2.2892399999999999        13.695650000000001       -25.461140000000000     
           1   2.2892399999999999        13.913040000000001       -25.461140000000000     
           1   2.2892399999999999        14.130430000000000       -25.461140000000000     
           1   2.2892399999999999        14.347830000000000       -25.461140000000000     
           1   2.2892399999999999        14.565220000000000       -25.461140000000000     
           1   2.2892399999999999        14.782610000000000       -25.461140000000000     
           1   2.2892399999999999        15.000000000000000       -25.461140000000000     
           1   2.4097300000000001        10.000000000000000       -25.519420000000000     
           1   2.4097300000000001        10.217390000000000       -25.519420000000000     
           1   2.4097300000000001        10.434780000000000       -25.519420000000000     
           1   2.4097300000000001        10.652170000000000       -25.519420000000000     
           1   2.4097300000000001        10.869570000000000       -25.519420000000000     
           1   2.4097300000000001        11.086959999999999       -25.519420000000000     
           1   2.4097300000000001        11.304349999999999       -25.519420000000000     
           1   2.4097300000000001        11.521739999999999       -25.519420000000000     
           1   2.4097300000000001        11.739129999999999       -25.519420000000000     
           1   2.4097300000000001        11.956519999999999       -25.519420000000000     
           1   2.4097300000000001        12.173909999999999       -25.519420000000000     
           1   2.4097300000000001        12.391299999999999       -25.519420000000000     
           1   2.4097300000000001        12.608700000000001       -25.519420000000000     
